Title,Authors
Breaking India,"['Rajiv Malhotra', 'Aravintan̲ Nīlakantan̲']"
The Saint in the Banyan Tree,['David Mosse']
Sacred Plants of India,['Nanditha Krishna']
Return of Statistics Relating to Forest Administration in British India,['India. Directorate of Economics and Statistics']
India Wakes,"['Arun Tiwari', 'Bart S Fisher']"
Proceedings of the National Institute of Sciences of India,['National Institute of Sciences of India']
India in the Contemporary World,"['Jakub Zajączkowski', 'Manish Thapa', 'Jivanta Schottli']"
Land Reforms in India,['Pramoda Kumāra Agravāla']
Media Management in India,"['Dibakar Panigrahy', 'Prasanna K. Biswasroy']"
Seeing Spiritual India,['Stephen Knapp']
Disaster Management in India,['Rajendra Kumar Pandey']
Alternative Organisations in India,"['Devi Vijay', 'Rohit Varman']"
A New Idea of India,"['Harsh Gupta', 'Rajeev Mantri']"
Globalization and the Politics of Identity in India,"['Bhupinder Brar', 'Ashutosh Kumar', 'Ronki Ram']"
Daniells' India,['Thomas Daniell']
The Future of Religious Studies in India,['Sudha Sitharaman']
India's Pakistan Policy,['Stuti Bhatnagar']
Perspectives for India's Trade with Developing Countries,['Economic and Scientific Research Foundation (India)']
Uprising of the Fools,['Vikash Singh']
India Unlimited,['Arvind Panagariya']
Community Management of Rural Water Supply,"['Paul Hutchings', 'Richard Franceys', 'Stef Smits', 'Snehalatha Mekala']"
Financial Management Practices in India,['Sandeep Goel']
The Political Economy of Dowry,['Ranjana Sheel']
A Clash of Political Cultures,['Sudarshan Bhutani']
Beyond Crisis,"['Mani Khurana', 'Sudeshna Ghosh Banerjee']"
Modi's India,['Christophe Jaffrelot']
"Bringing of Reserve Bank of India, Nationalised Banks, Including State Bank of India and Its Subsidiaries and Other Financial Institutions Within the Purview of Committee on Public Undertakings",['India. Parliament. Committee on Public Undertakings']
Antarctica,"['Syed Zahoor Qasim', 'Dinabandhu Sahoo']"
"Ethnobotany of India, Volume 5","['T. Pullaiah', 'K. V. Krishnamurthy', 'Bir Bahadur']"
Indian Shield,"['A.B. Roy', 'Ritesh Purohit']"
India's Rise to Power in the Twentieth Century and Beyond,['S. Gordon']
Languages of India,['Gopal Haldar']
Muslim Society in India,['Jafri Begum']
The Indian Nitrogen Assessment,"['YP Abrol', 'TK Adhya', 'Viney P. Aneja', 'N. Raghuram', 'Himanshu Pathak', 'Umesh Kulshrestha', 'Chhemendra Sharma', 'Bijay Singh']"
Changing India,['Manmohan Singh']
The Discovery of India,['Jawaharlal Nehru']
The Congress in Tamilnad,['David Arnold']
Why India is Not a Great Power (yet),['Bharat Karnad']
Early India,['Romila Thapar']
Where India Goes,"['Diane Coffey', 'Dean Spears']"
How India Sees the World,['Shyam Saran']
Imagining India,['Ronald B. Inden']
Producing India,['Manu Goswami']
Cracking the CSAT Paper 2,"['Mridula Sharma', 'Nikita Todarwal', 'Priya Mittal', 'Vinay Sharma', 'Jatin Kinger', 'Mohiit Sharma']"
India,"['French, Patrick', 'Patrick French']"
India After Independence,"['Bipan Chandra', 'Aditya Mukherjee', 'Mridula Mukherjee']"
India,"['French, Patrick', 'Patrick French']"
India After Independence,"['Bipan Chandra', 'Aditya Mukherjee', 'Mridula Mukherjee']"
India and the Knowledge Economy,"['Carl J. Dahlman', 'Anuja Utz']"
Discover India: The Complete Collection,['Sonia Mehta']
A History of India,"['Romila Thapar', 'Percival Spear', 'Thomas George Percival Spear']"
Politics in India,['Rajni Kothari']
India at the Global High Table,"['T.C. Schaffer', 'H.B. Schaffer']"
The Gita: For Children,['Roopa Pai']
Why India is Not a Great Power (yet),['Bharat Karnad']
Integration of the Indian States,['Vapal Pangunni Menon']
What does it mean to be ‘Indian’?,"['S.N. Balagangadhara, Sarika Rao']"
India in Mind,['Pankaj Mishra']
A New History of India,['Stanley A. Wolpert']
History of International Relations,['Erik Ringmar']
The Penguin History of Early India,['Romila Thapar']
The History of India,['John McLeod']
In Service of the Republic,"['Vijay Kelkar', 'Ajay Shah']"
Animal Intimacies,['Radhika Govindrajan']
No Land's People,['Abhishek Saha']
DK Eyewitness India,['DK Eyewitness']
No Land's People,['Abhishek Saha']
The British in India,['David Gilmour']
India,['Sunita Apte']
India: A Short History,['Andrew Robinson']
"Allen's Indian Mail and Register of Intelligence for British & Foreign India, China, & All Parts of the East",[]
How India Won Her Freedom,['Krishna Chaitanya']
India,['Shashi Tharoor']
A Passage To India,"['E.M. Forster', 'Martin Sherman']"
An Act to Amend the Law of Evidence with Respect to Bankers' Books,['India']
India,['John Keay']
India and World Civilization,['Damodar Prasad Singhal']
Children of India,['Ruskin Bond']
Narrative of a Journey Through the Upper Provinces of India,['Reginald Heber']
India: A Wounded Civilization,['V. S. Naipaul']
India: The Future is Now,['Shashi Tharoor']
The New World Disorder and the Indian Imperative,[]
Inglorious Empire,['Shashi Tharoor']
Playing Indian,['Philip J. Deloria']
Bentham's Theory of Fictions,['C.K. Ogden']
A Cultural History of India,['Arthur Llewellyn Basham']
India Before Europe,"['Catherine Ella Blanshard Asher', 'Cynthia Talbot']"
Celebrating the Best of Urdu Poetry,['Khushwant Singh']
India: The Future is Now,['Shashi Tharoor']
A Cultural History of India,['Arthur Llewellyn Basham']
Hind Swaraj,['M. K. Gandhi']
Inglorious Empire,['Shashi Tharoor']
Mission India,['A P J Abdul Kalam']
India,['Vidya Dehejia']
Indian Accent,['Manish Mehrotra']
Lonely Planet India,"['Lonely Planet', 'Michael Benanav', 'Joe Bindloss', 'Lindsay Brown', 'Stuart Butler', 'Mark Elliott', 'Paul Harding', 'Trent Holden', 'Anirban Mahapatra', 'Bradley Mayhew', 'Daniel McCrohan', 'John Noble', 'Kevin Raub', 'Sarina Singh', 'Iain Stewart', 'Isabella Noble']"
No Full Stops In India,['Mark Tully']
Into India,['John Keay']
Patterns of India,['Christine Chitnis']
India,[]
Rebels Against the Raj: Western Fighters for India’s Freedom,['Ramachandra Guha']
Encyclopedia of India,['Stanley A. Wolpert']
The Burden of Democracy,['Pratap Bhanu Mehta']
Back Stage,['Montek Singh Ahluwalia']
India,['Michael Wood']
Discover India: Festivals of India,['Sonia Mehta']
Inventing Global Ecology,['Michael L. Lewis']
Discover India: Wildlife of India,['Sonia Mehta']
The Great Partition,['Yasmin Khan']
Made in India,['Meera Sodha']
India On Our Minds: Essays By Tharman Shanmugaratnam And 50 Singaporean Friends Of India,"['Tommy Koh', 'Hernaikh Singh']"
India Book of Records 2021,['Team Book India']
Statistics of Railways,['Joseph Miller (of Newcastle-upon-Tyne.)']
India,['V. S. Naipaul']
India,['Various']
Accelerating India,[]
"The Ancient Monuments and Archaeological Sites and Remains Act, 1958",['Alok Tripathi']
India Stamp Catalogue,['Stanley Gibbons Staff']
The History of India for Children (Vol. 1),"['Archana Garodia Gupta', 'Shruti Garodia']"
Amritlal Sheth,['Varsha Das']
The People of India,"['John William Kaye', 'Meadows Taylor', 'John Forbes Watson']"
The Early History of India from 600 B.C. to the Muhammadan Conquest,['Vincent Arthur Smith']
Target 3 Billion,"['Avul Pakir Jainulabdeen Abdul Kalam', 'Srijan Pal Singh']"
The Challenge of Slums,['United Nations Human Settlements Programme']
Handbook of Tribal Politics in India,"['Jagannath Ambagudia', 'Virginius Xaxa']"
Historical Sketch of the Missions in India,['Caesar Augustus Rodney Janvier']
PAHARI PAINTINGS OF THE NALA - DAMAYANTI THEME,['PUBLICATIONS DIVISION']
India-US Relations in the Age of Uncertainty,['B.M. Jain']
Journal of the East India Association,[]
India’s Economic Resurgence,['C B Rao']
Lonely Planet's Best in Travel 2020,['Lonely Planet']
India's Kathak Dance in Historical Perspective,['Dr Margaret E Walker']
The Cyclopedia of India,[]
India's Organic Farming Revolution,['Sapna E. Thottathil']
India's 2004 Elections,"['Ramashray Roy', 'Paul Wallace']"
I Guarded Kings,['Harold Brust']
Report on the meteorology of India,['India. Meteorological Department']
I Guarded Kings,['Harold Brust']
Beyond 2020,['A P J Abdul Kalam']
The History of India for Children (Vol. 2),"['Archana Garodia Gupta', 'Shruti Garodia']"
What the Economy Needs Now,['Abhijit Banerjee']
Around India in 80 Trains,['Monisha Rajesh']
A Passage to India,"['Laura Heffernan', 'E. M. Forster']"
We Indians,['Khushwant Singh']
"Discover India: Culture, Food and People",['Sonia Mehta']
"Nehru, Tibet and China",['A. S. Bhasin']
The Long Game,['Vijay Gokhale']
The God of Small Things,['Arundhati Roy']
The Story of China,['Michael Wood']
The Monumental India Book,"['Amit Pasricha', 'Aman Nath']"
India 2030,['Gautam Chikermane']
The Essential Writings of B.R. Ambedkar,['Valerian Rodrigues']
NCC,['R. K. Gupta']
Sabka Saath Sabka Vikas: May 2015-April 2016,['Narendra Modī']
How India Became Democratic,['Ornit Shani']
Savarkar (Part 2),['Vikram Sampath']
Savarkar,['Vikram Sampath']
India's China Challenge,['Ananth Krishnan']
Indian Defence Review Vol 31.2 (Apr-Jun 2016),"['Col Danvir Singh', 'Rear Adm AP Revi', 'Air Marshal Anil Chopra', ' Brig Gurmeet Kanwal', 'Air Cmde PC Chopra', 'Vice Adm DSP Varma and Cdr Arnab Das', 'Dr Samrat Sinha', 'Anil Kumar Tandale', 'Dr SN Misra']"
India,['V. S. Naipaul']
The Incredible History of India's Geography,"['Sanjeev Sanyal', 'Sowmya Rajendran']"
Incarnations,['Sunil Khilnani']
The Rough Guide to India,['Rough Guides']
Letters for a Nation,['Jawaharlal Nehru']
Hinduism and Tribal Religions,"['Jeffery D. Long', 'Rita D. Sherma', 'Pankaj Jain', 'Madhu Khanna']"
Indomitable Spirit,['Avul Pakir Jainulabdeen Abdul Kalam']
Love Marriage,['Monica Ali']
Garden Flowers,['Vishnu Swarup']
Indians,['Namit Arora']
"Dr. Babasaheb Ambedkar, Writings and Speeches: (3 pts.). Dr. Babasaheb Ambedkar and his egalitarian revolution",['Bhimrao Ramji Ambedkar']
The People of India,[]
The Library,['Stuart A.P. Murray']
Our Judiciary,['B. R. Agarwala']
Sanghi Who Never Went To A Shakha,['Rahul Roushan']
Politics in India Since Independence,"['Shveta Uppal', 'National Council of Educational Research and Training (India)']"
Rising to the China Challenge,['Gautam Bambawale']
One Life to Ride : A Motorcycle Journey to the High Himalayas (2nd Edition),['Ajit Harisinghani']
Ancient India,['R. C. Majumdar']
"India: In Word and Image, Revised, Expanded and Updated",[]
Agricultural Statistics 2020,['U S Dept Of Agriculture']
Copyright Practice and Procedure,['Sanford J. Durst']
The Oxford Companion to Politics in India,"['Niraja Gopal Jayal', 'Pratap Bhanu Mehta']"
Discover India: Monuments of India,['Sonia Mehta']
Indian Antiquary,[]
Complete works for solo keyboard,['Jean-Philippe Rameau']
The Legacy of Mahatma Gandhi,['Sagar Simlandy and Sharmila Dutta Banik']
Parliamentary Debates,[]
Annual Report of the Missionary Society of the Methodist Episcopal Church,['Methodist Episcopal Church. Missionary Society']
"Index-catalogue of the Library of the Surgeon-general's Office, United States Army",['National Library of Medicine (U.S.)']
Scouting for Boys,['Robert Baden-Powell']
Issue IV (Paperback),['The Borfski Press']
Woman's Missionary Friend,[]
National Geographic Traveler - Barcelona,['Damien Simonis']
Prices and Wages in India,['India. Department of Statistics']
Annual Report,[]
Press in India,['India. Office of the Registrar of Newspapers for India']
Press in India,['India. Office of the Registrar of Newspapers for India']
Asiatic Review,[]
Water,['Brahma Chellaney']
India on Our Minds,['Tharman Shanmugaratnam']
"The Historians' History of the World: The British colonies, The United States (early colonial period)",['Henry Smith Williams']
India Today,['India. Directorate of Advertising and Visual Publicity']
Who Moved My Interest Rate,['Duvvuri Subbarao']
American Revisions and Additions to the Encyclopedia Britannica,['William Harrison De Puy']
Kalātattvakośa,"['Kapila Vatsyayan', 'Bettina Ba umer']"
The Economist,[]
East India (progress and Condition).,['Great Britain. India Office']
General Report - Survey of India,['Survey of India']
"Census of India, 1991",[]
Report of U.S. Department of Commerce Trade Mission to Eastern India and the United States Small Industries Exhibit in Calcutta,['United States. Trade mission to Eastern India']
"The Cambridge History of India: British India, 1497-1858, edited by H. H. Dodwell",[]
Monthly Statistics of the Foreign Trade of India,[]
The Contemporary Review,[]
The Parliamentary Debates,['Great Britain. Parliament']
Records of the Geological Survey of India,['Geological Survey of India']
Taxing Energy Use 2019 Using Taxes for Climate Action,['OECD']
Sale-catalogues of Second-hand Books on Sale by Henry Sotheran & Co,"['Sotheran, Henry and Co']"
Times of India Illustrated Weekly,[]
Framing an Environmental Controversy in India's English-language Press,['Elizabeth Ann Burch']
The Law Times,[]
To the citizens of the United States of America. [An address from the Society of Friends on national vice and immorality.],['New York Yearly Meeting of the Religious Society of Friends. Meeting for Sufferings']
Scotland and Bimetallism,[]
The Nineteenth Century and After,[]
A Treatise on Crimes and Misdemeanors,['William Oldnall Russell']
Good Health,[]
Indian Trade Journal,[]
The Province of Burma,['Alleyne Ireland']
Journal of the Bombay Branch of the Royal Asiatic Society,[]
Directory of Central Government Officials,['India']
"Essays, Ethical and Political",['Thomas Henry Huxley']
The Railroad Trainman,[]
Proceedings of the Bostonian Society at the Annual Meeting,['Bostonian Society']
The Quarterly review,[]
Studies in Modern Problems: Sacramental confession,['Orby Shipley']
The History & Economics of Indian Famines,['Alexander Loveday']
The Builder,[]
Social Structure and Change,"['A M Shah', 'B S Baviskar', 'E A Ramaswamy']"
The Westminster Review,[]
Indian Minerals Yearbook,[]
The Fortnightly,[]
"Subject-matter Index of Applications for Letters Patent, for the Year ...",['Great Britain. Patent Office']
The Indian Quarterly Register,[]
Littell's Living Age,"['Eliakim Littell', 'Robert S. Littell']"
Statistics of the Customs and Excise Revenue Collections of the Indian Union,[]
"English Patents of Inventions, Specifications",[]
The Nutmeg's Curse,['Amitav Ghosh']
Social Structure and Change,"['A M Shah', 'B S Baviskar', 'E A Ramaswamy']"
Indian Economic Review,[]
Bulletin of the Indian Coffee Board,[]
Evangelical Christendom,[]
I Shall Not Hear the Nightingale,['Khushwant Singh']
The Lancet,[]
Appropriately Indian,['Smitha Radhakrishnan']
Doing Business with Latin America,['Adam Jolly']
The Edinburgh Review,[]
British Bee Journal & Bee-keepers Adviser,[]
India Rediscovered,['Jawaharlal Nehru']
Desperately Seeking Shah Rukh,['Shrayana Bhattacharya']
Host Bibliographic Record for Boundwith Item Barcode 30112044654090 and Others,[]
Neo-Hindutva,['Taylor & Francis Group']
"A Religious Encyclopaedia Or Dictionary of Biblical, Historical, Doctrinal, and Practical Theology","['Johann Jakob Herzog', 'Philip Schaff']"
The New International Encyclopaedia,"['Daniel Coit Gilman', 'Harry Thurston Peck', 'Frank Moore Colby']"
The Encyclopædia Britannica,[]
Indian Silk,[]
“The” Academy,[]
The Philippine Journal of Science,[]
India,['Jim Bartell']
The Indian Journal of Agricultural Sciences,[]
In Search of Myths & Heroes,['Michael Wood']
WHO library acquisitions,[]
Letters from a father to his daughter,['Jawaharlal Nehru']
The Andhra Pradesh Gazette,['Andhra Pradesh (India)']
United Nations Documents Index,[]
Indian Law Reports,[]
